Título,Enlace,Puntos,Comentarios,Fecha
"AV1: A Modern, Open Codec",https://netflixtechblog.com/av1-now-powering-30-of-netflix-streaming-02f592242d80,227 points,3 hours ago,2025-12-04 23:02:02
BMW PHEV: Safety fuse replacement is extremely expensive,https://evclinic.eu/2025/12/04/2021-phev-bmw-ibmucp-21f37e-post-crash-recovery-when-eu-engineering-becomes-a-synonym-for-unrepairable-generating-waste/,93 points,2 hours ago,2025-12-04 23:02:02
Trick users and bypass warnings – Modern SVG Clickjacking attacks,https://lyra.horse/blog/2025/12/svg-clickjacking/,77 points,3 hours ago,2025-12-04 23:02:02
NeurIPS 2025 Best Paper Awards,https://blog.neurips.cc/2025/11/26/announcing-the-neurips-2025-best-paper-awards/,34 points,2 hours ago,2025-12-04 23:02:02
How Brussels writes so many laws,https://www.siliconcontinent.com/p/how-brussels-writes-so-many-laws,36 points,2 hours ago,2025-12-04 23:02:02
"The Ofcom Files, Part 4: Ofcom Rides Again",https://prestonbyrne.com/2025/12/04/the-ofcom-files-part-4-ofcom-rides-again/,51 points,3 hours ago,2025-12-04 23:02:02
CUDA-l2: Surpassing cuBLAS performance for matrix multiplication through RL,https://github.com/deepreinforce-ai/CUDA-L2,90 points,6 hours ago,2025-12-04 23:02:02
State of AI: An Empirical 100T Token Study with OpenRouter,https://openrouter.ai/state-of-ai,134 points,5 hours ago,2025-12-04 23:02:02
Multivox: Volumetric Display,https://github.com/AncientJames/multivox,243 points,11 hours ago,2025-12-04 23:02:02
Transparent leadership beats servant leadership,https://entropicthoughts.com/transparent-leadership-beats-servant-leadership,389 points,14 hours ago,2025-12-04 23:02:02
StardustOS: Library operating system for building light-weight Unikernels,https://github.com/StardustOS,36 points,5 hours ago,2025-12-04 23:02:02
How elites could shape mass preferences as AI reduces persuasion costs,https://arxiv.org/abs/2512.04047,515 points,19 hours ago,2025-12-04 23:02:02
Why are 38 percent of Stanford students saying they're disabled?,https://reason.com/2025/12/04/why-are-38-percent-of-stanford-students-saying-theyre-disabled/,532 points,9 hours ago,2025-12-04 23:02:02
"Help, My Java Object Vanished (and the GC Is Not at Fault)",https://arraying.de/posts/markword/,34 points,4 hours ago,2025-12-04 23:02:02
Thoughts on Go vs. Rust vs. Zig,https://sinclairtarget.com/blog/2025/08/thoughts-on-go-vs.-rust-vs.-zig/,254 points,6 hours ago,2025-12-04 23:02:02
CSS now has an if() conditional function,https://caniuse.com/?search=if,55 points,5 hours ago,2025-12-04 23:02:02
We gave 5 LLMs $100K to trade stocks for 8 months,https://www.aitradearena.com/research/we-ran-llms-for-8-months,189 points,4 hours ago,2025-12-04 23:02:02
Nice Functions [pdf],https://math.mit.edu/~gs/dela/nice_functions.pdf,5 points,1 hour ago,2025-12-04 23:02:02
Django 6,https://docs.djangoproject.com/en/6.0/releases/6.0/,256 points,6 hours ago,2025-12-04 23:02:02
What is better: a lookup table or an enum type?,https://www.cybertec-postgresql.com/en/lookup-table-or-enum-type/,20 points,4 hours ago,2025-12-04 23:02:02
Show HN: Onlyrecipe 2.0 – I added all features HN requested – 4 years later,https://onlyrecipeapp.com/?url=https://www.allrecipes.com/turkish-pasta-recipe-8754903,137 points,12 hours ago,2025-12-04 23:02:02
PyTogether: Collaborative lightweight real-time Python IDE for teachers/learners,https://github.com/SJRiz/pytogether,71 points,10 hours ago,2025-12-04 23:02:02
I ignore the spotlight as a staff engineer,https://lalitm.com/software-engineering-outside-the-spotlight/,429 points,16 hours ago,2025-12-04 23:02:02
Fighting the age-gated internet,https://www.wired.com/story/age-verification-is-sweeping-the-us-activists-are-fighting-back/,180 points,14 hours ago,2025-12-04 23:02:02
Converge (YC S23) is hiring a martech expert in NYC,https://www.runconverge.com/careers/technical-customer-success-manager,N/A,10 hours ago,2025-12-04 23:02:02
Autism should not be treated as a single condition,https://www.economist.com/science-and-technology/2025/12/03/why-autism-should-not-be-treated-as-a-single-condition,217 points,11 hours ago,2025-12-04 23:02:02
A Cozy Mk IV light aircraft crashed after 3D-printed part was weakened by heat,https://www.bbc.com/news/articles/c1w932vqye0o,227 points,7 hours ago,2025-12-04 23:02:02
It’s time to free JavaScript (2024),https://javascript.tm/letter,671 points,18 hours ago,2025-12-04 23:02:02
PGlite – Embeddable Postgres,https://pglite.dev/,527 points,17 hours ago,2025-12-04 23:02:02
Uncloud - Tool for deploying containerised apps across servers without k8s,https://uncloud.run/,365 points,21 hours ago,2025-12-04 23:02:02
