Título,Enlace,Puntos,Comentarios,Fecha
Pebble Watch software is now 100% open source,https://ericmigi.com/blog/pebble-watch-software-is-now-100percent-open-source,723 points,8 hours ago,2025-11-24 21:59:43
Unpowered SSDs slowly lose data,https://www.xda-developers.com/your-unpowered-ssd-is-slowly-losing-your-data/,223 points,7 hours ago,2025-11-24 21:59:43
Claude Advanced Tool Use,https://www.anthropic.com/engineering/advanced-tool-use,369 points,7 hours ago,2025-11-24 21:59:43
Build a Compiler in Five Projects,https://kmicinski.com/functional-programming/2025/11/23/build-a-language/,31 points,2 hours ago,2025-11-24 21:59:43
Cool-retro-term: terminal emulator which mimics look and feel of CRTs,https://github.com/Swordfish90/cool-retro-term,172 points,9 hours ago,2025-11-24 21:59:43
Show HN: I built an interactive HN Simulator,https://news.ysimulator.run/news,178 points,8 hours ago,2025-11-24 21:59:43
Claude Opus 4.5,https://www.anthropic.com/news/claude-opus-4-5,788 points,8 hours ago,2025-11-24 21:59:43
Random lasers from peanut kernel doped with birch leaf–derived carbon dots,https://www.degruyterbrill.com/document/doi/10.1515/nanoph-2025-0312/html,23 points,4 hours ago,2025-11-24 21:59:43
Three Years from GPT-3 to Gemini 3,https://www.oneusefulthing.org/p/three-years-from-gpt-3-to-gemini,201 points,9 hours ago,2025-11-24 21:59:43
Moving from OpenBSD to FreeBSD for firewalls,https://utcc.utoronto.ca/~cks/space/blog/sysadmin/OpenBSDToFreeBSDMove,151 points,9 hours ago,2025-11-24 21:59:43
Show HN: OCR Arena – A playground for OCR models,https://www.ocrarena.ai/battle,69 points,6 hours ago,2025-11-24 21:59:43
The Bitter Lesson of LLM Extensions,https://www.sawyerhood.com/blog/llm-extension,86 points,8 hours ago,2025-11-24 21:59:43
How sea turtles learn locations using Earth’s magnetic field: research,https://uncnews.unc.edu/2025/02/13/sea-turtles-secret-gps-researchers-uncover-how-sea-turtles-learn-locations-using-earths-magnetic-field/,17 points,3 hours ago,2025-11-24 21:59:43
What OpenAI did when ChatGPT users lost touch with reality,https://www.nytimes.com/2025/11/23/technology/openai-chatgpt-users-risks.html,117 points,8 hours ago,2025-11-24 21:59:43
Google's new 'Aluminium OS' project brings Android to PC,https://www.androidauthority.com/aluminium-os-android-for-pcs-3619092/,66 points,8 hours ago,2025-11-24 21:59:43
Chrome Jpegxl Issue Reopened,https://issues.chromium.org/issues/40168998,217 points,14 hours ago,2025-11-24 21:59:43
PS5 now costs less than 64GB of DDR5 memory. RAM jumps to $600 due to shortage,https://www.tomshardware.com/pc-components/ddr5/64gb-of-ddr5-memory-now-costs-more-than-an-entire-ps5-even-after-a-discount-trident-z5-neo-kit-jumps-to-usd600-due-to-dram-shortage-and-its-expected-to-get-worse-into-2026,287 points,7 hours ago,2025-11-24 21:59:43
Shai-Hulud Returns: Over 300 NPM Packages Infected,https://helixguard.ai/blog/malicious-sha1hulud-2025-11-24,877 points,16 hours ago,2025-11-24 21:59:43
A fast EDN (Extensible Data Notation) reader written in C11 with SIMD boost,https://github.com/DotFox/edn.c,41 points,2 hours ago,2025-11-24 21:59:43
"Bytes before FLOPS: your algorithm is (mostly) fine, your data isn't",https://www.bitsdraumar.is/bytes-before-flops/,42 points,7 hours ago,2025-11-24 21:59:43
Fifty Shades of OOP,https://lesleylai.info/en/fifty_shades_of_oop/,56 points,8 hours ago,2025-11-24 21:59:43
Mind-reading devices can now predict preconscious thoughts,https://www.nature.com/articles/d41586-025-03714-0,126 points,8 hours ago,2025-11-24 21:59:43
Show HN: Hypercamera – a browser-based 4D camera simulator,https://dugas.ch/4d_creatures/4d_camera.html,3 points,1 hour ago,2025-11-24 21:59:43
You can see a working Quantum Computer in IBM's London office,https://www.ianvisits.co.uk/articles/you-can-see-a-working-quantum-computer-in-ibms-london-office-85464/,43 points,6 hours ago,2025-11-24 21:59:43
Building the largest known Kubernetes cluster,https://cloud.google.com/blog/products/containers-kubernetes/how-we-built-a-130000-node-gke-cluster/,106 points,14 hours ago,2025-11-24 21:59:43
"Corvus Robotics (YC S18): Hiring Head of Mfg/Ops, Next Door to YC Mountain View",https://news.ycombinator.com/item?id=46036222,N/A,9 hours ago,2025-11-24 21:59:43
"TSMC Arizona outage saw fab halt, Apple wafers scrapped",https://www.culpium.com/p/tsmc-arizona-outage-saw-fab-halt,178 points,8 hours ago,2025-11-24 21:59:43
Inside Rust's std and parking_lot mutexes – who wins?,https://blog.cuongle.dev/p/inside-rusts-std-and-parking-lot-mutexes-who-win,135 points,12 hours ago,2025-11-24 21:59:43
The history of Indian science fiction,https://altermag.com/articles/the-secret-history-of-indian-science-fiction,103 points,8 hours ago,2025-11-24 21:59:43
"Launch HN: Karumi (YC F25) – Personalized, agentic product demos",http://karumi.ai/,31 points,8 hours ago,2025-11-24 21:59:43
